,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address,Coordinates,latitude,longitude
117,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
118,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,P,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
119,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,C,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
120,PARKSIDE RESTAURANT,QUEENS,CORONA AVENUE,11368,Italian,A,"Queens, Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
121,LAVELLE'S ADMIRAL'S CLUB,QUEENS,BROADWAY,11103,American,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
122,NEARY'S PUB,MANHATTAN,EAST   57 STREET,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA","211 E 43rd St #1404, New York, NY 10017, USA",40.7512663,-73.9731576
123,NEW YORK PIZZA SUPREMA,MANHATTAN,8 AVENUE,10001,Pizza,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA","330 W 42nd St #2601, New York, NY 10036, USA",40.7575867,-73.9915613
124,MEE SUM CAFE,MANHATTAN,PELL STREET,10013,CafÃ©/Coffee/Tea,A,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
125,MEE SUM CAFE,MANHATTAN,PELL STREET,10013,CafÃ©/Coffee/Tea,P,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
126,NANCY'S RESTAURANT,QUEENS,JAMAICA AVENUE,11001,American,A,,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488
127,HOP KEE RESTAURANT,MANHATTAN,MOTT STREET,10013,Chinese,A,"屏東縣, 臺灣省, TW","Pingtung County, Taiwan",22.5519759,120.5487597
